,release_date,danceability,energy,loudness,acousticness,instrumentalness,valence,rock,pop,dance pop,classic rock,classical,rap,hip hop,modern rock,mellow gold,album rock,permanent wave,pop rap
40490,2021,0.695,0.575,-6.334,0.198,0.0,0.6990000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17675,2014,0.6559999999999999,0.627,-6.627000000000001,0.3429999999999999,2.17e-05,0.481,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41554,2021,0.711,0.611,-5.452999999999999,0.00575,0.0,0.144,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24551,2017,0.7759999999999999,0.78,-4.374,0.0622,0.0,0.6659999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6241,2021,0.815,0.848,-4.704,0.023,0.000162,0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35389,2021,0.662,0.7879999999999999,-4.55,0.0191,0.0,0.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38820,2021,0.423,0.667,-7.0120000000000005,0.758,0.0,0.496,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16593,2021,0.486,0.871,-3.642,0.617,0.0,0.6629999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8159,2021,0.816,0.71,-3.728,0.165,0.0,0.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25782,2019,0.501,0.405,-5.678999999999999,0.7509999999999999,0.0,0.446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42550,2020,0.746,0.765,-4.41,0.0112,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23885,2021,0.855,0.488,-4.601,0.506,0.0,0.619,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20308,2021,0.369,0.272,-10.497,0.866,0.0,0.218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40231,2020,0.7020000000000001,0.825,-3.787,0.00883,0.0,0.915,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15439,2017,0.614,0.318,-12.695,0.8959999999999999,0.0023899999999999,0.1119999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21081,2019,0.695,0.762,-3.497,0.192,0.00244,0.5529999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27884,2020,0.737,0.802,-4.771,0.4679999999999999,0.0,0.682,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22875,2020,0.39,0.499,-7.778,0.632,0.0004969999999999,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18695,2017,0.609,0.6920000000000001,-2.958,0.0157,0.0,0.4539999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37772,2020,0.792,0.511,-6.876,0.124,9.04e-05,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19903,2021,0.595,0.784,-4.878,0.216,0.0,0.479,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25647,2017,0.825,0.652,-3.1830000000000003,0.581,0.0,0.931,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6128,2020,0.662,0.413,-7.357,0.213,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41305,2020,0.667,0.373,-9.389,0.785,0.0,0.0823,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23860,2021,0.3339999999999999,0.599,-5.742000000000001,0.0468,0.000392,0.127,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19783,2021,0.77,0.899,-2.9810000000000003,0.222,1.14e-06,0.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13758,2021,0.7390000000000001,0.588,-4.971,0.00308,0.0,0.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24149,2020,0.449,0.465,-8.964,0.524,1.02e-06,0.5429999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29252,2016,0.841,0.728,-3.37,0.0847,0.0,0.43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30683,2021,0.758,0.913,-2.926,0.00364,6.92e-05,0.6579999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32631,2021,0.836,0.846,-4.673,0.0907,0.047,0.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7377,2021,0.672,0.526,-6.446000000000001,0.0311,1.37e-06,0.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7548,2021,0.789,0.536,-6.862,0.41,0.0,0.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34036,2020,0.726,0.431,-8.765,0.731,0.0,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26477,2020,0.7340000000000001,0.8740000000000001,-3.158,0.168,1.14e-05,0.905,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17784,2000,0.949,0.6609999999999999,-4.244,0.0302,0.0,0.76,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9347,2016,0.358,0.557,-7.398,0.695,0.0,0.494,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,0.7490000000000001,0.4629999999999999,-8.433,0.21,0.0382,0.1889999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12501,2013,0.422,0.264,-7.064,0.922,0.0,0.331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9562,2021,0.8059999999999999,0.653,-6.283,0.0282,0.000784,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20807,2021,0.578,0.449,-6.349,0.0618,2.17e-06,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6660,2021,0.813,0.809,-5.382000000000001,0.102,1.37e-06,0.6459999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17998,2020,0.695,0.884,-2.278,0.0561,0.0,0.914,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34867,2002,0.908,0.669,-2.827,0.00286,0.0,0.662,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34316,2021,0.8390000000000001,0.711,-4.7330000000000005,0.3979999999999999,2.02e-06,0.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
